2358.423161,1024.685371
2357.385493,1026.323491
2354.160897,1038.432464
2356.972023,1035.385229
2360.412736,1034.574467
2359.619851,1040.308698
2356.518503,1046.515681
2358.642202,1047.884576
2357.596684,1053.226909
2353.749634,1066.237704
2352.898990,1063.440553
2353.217195,1066.803916
2352.038846,1073.419405
2353.398336,1071.085965
2351.457135,1081.796631
2353.372676,1078.456075
2353.575412,1084.629777
2356.877161,1074.660321
2359.967304,1077.728033
2361.059377,1081.930586
2257.262308,1559.807160
2255.206840,1571.346627
2257.207774,1558.631032
2258.533308,1560.519464
2259.484155,1556.623290
2263.554266,1545.428348
2258.171235,1561.997325
2260.951364,1558.187955
2263.685669,1539.743123
2259.417123,1559.949312
2255.349533,1571.148741
2256.713617,1562.556171
2256.485001,1559.177017
2256.516574,1559.739693
2254.021555,1571.114748
2255.496172,1559.071837
2251.719782,1564.783849
2257.021533,1558.252061
2257.523059,1556.588808
2261.933790,1555.594064
1697.512904,2098.185933
1696.542779,2100.151369
1693.292764,2101.655845
1689.436946,2105.139430
1688.926984,2103.699668
1687.189038,2105.683849
1685.468795,2107.874070
1688.249746,2106.728163
1681.711816,2110.536657
1679.553443,2110.775850
1679.435294,2110.362943
1677.924620,2110.679784
1681.953529,2108.947473
1676.086543,2111.142264
1672.401091,2113.388484
1674.994503,2110.400554
1673.689680,2111.542787
1680.309069,2108.933181
1680.310781,2108.080718
1678.205307,2109.544220
1190.707962,2255.733236
1199.182363,2253.200009
1214.388103,2246.495454
1223.359773,2241.411388
1225.624826,2240.040300
1232.873582,2234.748441
1243.004381,2230.455846
1249.106105,2227.863895
1239.338533,2233.942522
1249.239265,2228.250100
1252.284269,2227.070238
1249.794040,2228.229310
1242.354358,2233.405758
1240.393050,2233.900940
1241.266137,2233.340024
1241.786579,2234.049704
1242.346054,2235.097927
1240.011774,2235.365847
1240.919801,2235.800839
1245.677541,2234.322215
1931.621126,1994.915516
1948.820326,1988.485262
1965.430484,1984.709362
1984.153418,1973.768136
1996.094311,1967.697483
2018.400993,1949.533419
2022.570732,1947.703368
2024.611400,1947.025226
2028.421605,1946.498377
2036.535734,1935.837532
2026.043095,1944.593802
2021.483127,1955.590678
2024.150797,1950.709532
2028.551554,1945.229294
2026.818893,1946.208537
2016.116146,1955.747249
2005.742442,1965.404839
2008.312866,1959.934955
2005.973555,1960.932678
2005.028815,1963.657740
764.773628,2314.742105
763.720681,2316.744109
763.118404,2317.564092
762.628054,2318.085369
764.828974,2317.707614
764.586731,2317.883407
762.166266,2321.089225
762.154976,2321.823033
761.608350,2324.173942
758.952871,2327.213382
761.288477,2325.407216
757.875662,2326.475170
759.154788,2324.999824
759.680390,2325.910550
757.542409,2326.621856
760.367320,2328.248327
762.783924,2328.923911
760.097723,2330.872165
760.491830,2332.338994
759.839289,2334.653378
