225
0.000000,0.000000,1.000000;39.572295,-22.751746,185.063135;-1
0.000000,0.316228,0.948683;50.380036,5.698987,137.950832;-1
0.000000,0.707107,0.707107;370.583725,-306.299769,1016.632959;-1
0.000000,0.948683,0.316228;-15.594869,-88.962769,360.941590;-1
0.000000,1.000000,0.000000;-5.154673,-93.104955,402.549149;-1
0.316228,0.000000,0.948683;-56.098791,24.323823,222.801711;-1
0.408248,0.408248,0.816497;58.903553,25.153261,114.137640;-1
0.408248,0.816497,0.408248;261.031509,-153.742420,435.398342;-1
0.316228,0.948683,0.000000;36.443228,19.164618,34.776058;-1
0.707107,0.000000,0.707107;17.781846,-9.831222,261.333871;-1
0.816497,0.408248,0.408248;149.354866,-44.820117,257.803999;-1
0.707107,0.707107,0.000000;-78.082605,-0.702813,279.947388;-1
0.948683,0.000000,0.316228;49.417731,24.441719,78.614693;-1
0.948683,0.316228,0.000000;40.859894,-29.282715,118.096234;-1
1.000000,0.000000,0.000000;-35.080342,-3.265493,189.993029;-1
0.000000,0.000000,1.000000;561.352185,-662.197116,2474.909786;0
0.000000,0.000000,1.000000;560.971499,-543.935243,2474.809320;15
0.000000,0.000000,1.000000;564.688248,-547.350543,2478.003343;16
0.000000,0.000000,1.000000;565.218619,-579.305746,2479.085732;17
0.000000,0.000000,1.000000;566.262602,-591.685756,2478.335362;18
0.000000,0.316228,0.948683;468.658047,142.811576,2495.530884;1
0.000000,0.316228,0.948683;466.361984,131.174715,2492.266039;20
0.000000,0.316228,0.948683;466.318193,129.302797,2492.331673;21
0.000000,0.316228,0.948683;465.384873,130.003811,2491.112769;22
0.000000,0.316228,0.948683;464.624320,127.188849,2491.934869;23
0.000000,0.707107,0.707107;503.941745,171.620853,2495.556542;2
0.000000,0.707107,0.707107;507.541351,190.962624,2494.590672;25
0.000000,0.707107,0.707107;508.855035,197.929900,2494.323593;26
0.000000,0.707107,0.707107;508.282651,196.552992,2495.140012;27
0.000000,0.707107,0.707107;507.229568,194.088234,2494.281266;28
