542.189117,26.189794,2494.035251
536.591906,50.000870,2494.175659
503.071582,224.154594,2497.661332
501.231542,223.467164,2498.068906
521.941045,293.893670,2465.039181
536.389666,398.561932,2435.423518
639.666180,562.582540,2413.541999
633.811651,597.378108,2406.697799
710.645309,446.020240,2355.783796
696.181998,622.707431,2394.463890
730.113397,586.706809,2373.363505
938.048707,481.923054,2278.945552
857.086732,404.179598,2304.047210
1271.768167,2007.069567,1778.758503
1738.699629,2624.496222,1869.472188
2041.532827,3599.960070,1822.036624
2076.483166,3343.147012,1775.778765
2478.603577,4760.994609,1593.464252
2152.672194,4732.379690,1682.788663
2624.921172,5560.203239,1258.269818
2687.807257,5504.740423,1277.658666
1247.349058,491.833238,2192.923119
1305.289962,524.429939,2142.277509
1410.256890,1097.548946,2114.394719
1793.580792,1514.450779,2079.259790
1893.568879,1987.580518,2085.060662
1699.611269,1873.908891,1987.621151
2646.289496,3439.644753,1870.155402
2589.214662,3453.257658,1866.760768
2704.801489,4346.311639,1695.267281
2791.231825,4033.209479,1674.930700
2852.627085,5134.023807,1418.602281
2809.995997,5132.810374,1368.659788
2314.586026,1594.587484,2029.162826
2554.792826,2002.005666,1975.795696
2559.169232,1926.303895,1898.995119
3059.945673,3006.267078,1836.681692
2946.589398,2685.663625,1893.953393
2954.201898,3714.149024,1671.900737
3036.544957,3593.847787,1655.994871
3296.761919,4285.723204,1108.534565
3410.401417,4145.068392,1146.829499
3220.949844,4340.930757,1099.326308
3148.876255,4283.509029,1050.870185
1701.350303,450.652218,2007.217012
1706.123405,370.026632,1717.129363
2128.224903,809.477104,2091.784725
2080.729108,896.439524,2068.371911
2448.985942,1115.594704,1943.984139
2304.453222,1079.090598,1989.928043
2655.330277,1569.778363,1959.219329
2624.460218,1437.888906,1914.081145
3111.895316,2399.953119,1793.960124
3101.119401,2230.616333,1839.420622
3647.811884,3132.503472,1505.115250
3513.535894,3151.643004,1534.653056
3837.091611,3765.506753,1243.946460
3726.894268,3820.897141,1259.864221
3480.667186,4123.108358,1144.415597
3465.817332,4099.604161,1171.587704
2250.736773,450.161445,1995.349771
2037.902500,617.686163,1833.141396
3426.363355,1887.347355,1642.993736
3187.111441,1656.584189,1833.690339
3809.612116,2666.364240,1488.733768
3789.833349,2661.013330,1513.903422
3873.484244,3242.555666,1208.898749
3832.653991,3232.775390,1320.448700
3837.187723,3328.154915,1136.854600
2975.071951,693.515056,1867.402946
2900.421597,603.703404,1901.363023
2878.343106,927.938445,1887.119658
3755.925964,1586.982093,1633.295866
3235.882407,1473.756364,1824.073180
3977.630787,2132.482682,1373.446056
3924.119108,2043.802294,1475.158676
4000.435587,2700.664285,1195.998151
3953.436080,2536.906355,1404.130769
3077.163940,641.119607,1842.756496
3672.702122,1180.238386,1603.608870
4018.341778,1641.895937,1287.895567
4041.046176,1562.122632,1250.315743
4020.095595,1893.432164,1302.912633
3979.428035,1940.483062,1293.813706
4002.003338,1182.722826,1261.034846
3976.219592,993.360496,1319.516162
4060.694442,1556.004652,1074.459623
4032.603451,1547.227882,1177.629234
